,,,,,,,,,
Filename:,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_01_RT.pk,,,,,,
,,,,,,,,,
File,Created:,,,,,,,,
,July,13,2018,-,12:38,PM,,,
,,,,,,,,,
Specimen,Id:,,,,,,,,
,GS-01,RT,,,,,,,
,,,,,,,,,
Specimen,Name:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Specimen,Description:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Comment:,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,
Start,Angle:,1,deg.,,,,,,
Stop,Angle:,65,deg.,,,,,,
Num,Points:,3201,,,,,,,
Step,Size:,0.02,deg.,,,,,,
Scan,Rate:,1.000000,,,,,,,
Scan,Mode:,Continuous,,,,,,,
Wavelength:,1.540562,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,
,,,,,,,,,
Optics:,,,,,,,,,
,42.9600,2.1036,0.0000,0.0000,43.33,0.53,0.1600,0.0000,3.4667
,44.2600,2.0448,0.0000,0.0000,29.17,0.36,0.1400,0.0000,2.3333
,44.4000,2.0386,0.0000,0.0000,26.67,0.33,0.0600,0.0000,0.5333
,45.0000,2.0128,0.0000,0.0000,36.67,0.45,0.1200,0.0000,5.8667
,45.2000,2.0044,0.0000,0.0000,26.67,0.33,0.0400,0.0000,4.2667
,45.5600,1.9894,0.0000,0.0000,114.17,1.41,0.1200,0.0000,18.2667
,45.7600,1.9812,0.0000,0.0000,304.17,3.75,0.0800,0.0000,18.2500
,47.0800,1.9286,0.0000,0.0000,35.00,0.43,0.1600,0.0000,4.9000
,47.2000,1.9240,0.0000,0.0000,35.83,0.44,0.0800,0.0000,5.7333
,47.9600,1.8953,0.0000,0.0000,40.00,0.49,0.1600,0.0000,4.8000
,48.0800,1.8908,0.0000,0.0000,58.33,0.72,0.1600,0.0000,7.0000
,48.2600,1.8842,0.0000,0.0000,48.33,0.60,0.1200,0.0000,7.7333
,49.1800,1.8511,0.0000,0.0000,41.67,0.51,0.1000,0.0000,1.6667
,50.1000,1.8192,0.0000,0.0000,721.67,8.89,0.0800,0.0000,57.7333
,50.6000,1.8024,0.0000,0.0000,109.17,1.35,0.0000,0.0000,15.2833
,50.9200,1.7918,0.0000,0.0000,27.50,0.34,0.1000,0.0000,0.0000
,51.1200,1.7853,0.0000,0.0000,70.00,0.86,0.1200,0.0000,5.6000
,51.2600,1.7808,0.0000,0.0000,49.17,0.61,0.1400,0.0000,4.9167
,52.1000,1.7540,0.0000,0.0000,32.50,0.40,0.1000,0.0000,5.2000
,52.3600,1.7459,0.0000,0.0000,26.67,0.33,0.0400,0.0000,0.0000
,53.2400,1.7191,0.0000,0.0000,42.50,0.52,0.0400,0.0000,6.8000
,54.8400,1.6727,0.0000,0.0000,223.33,2.75,0.0400,0.0000,17.8667
,55.3000,1.6598,0.0000,0.0000,113.33,1.40,0.0600,0.0000,6.8000
,55.4400,1.6560,0.0000,0.0000,54.17,0.67,0.1400,0.0000,4.3333
,55.8800,1.6440,0.0000,0.0000,30.00,0.37,0.1000,0.0000,2.4000
,56.0400,1.6397,0.0000,0.0000,36.67,0.45,0.1600,0.0000,0.0000
,57.1800,1.6097,0.0000,0.0000,30.83,0.38,0.0800,0.0000,3.7000
,57.3000,1.6066,0.0000,0.0000,30.83,0.38,0.0600,0.0000,3.0833
,57.4600,1.6025,0.0000,0.0000,29.17,0.36,0.1000,0.0000,2.9167
,57.6000,1.5989,0.0000,0.0000,31.67,0.39,0.0000,0.0000,4.4333
,58.6400,1.5730,0.0000,0.0000,34.17,0.42,0.1600,0.0000,3.4167
,59.3000,1.5571,0.0000,0.0000,33.33,0.41,0.1400,0.0000,0.0000
,59.9200,1.5424,0.0000,0.0000,583.33,7.19,0.0600,0.0000,46.6667
,60.0800,1.5387,0.0000,0.0000,322.50,3.97,0.0600,0.0000,25.8000
,61.6600,1.5030,0.0000,0.0000,37.50,0.46,0.0600,0.0000,3.0000
,61.9200,1.4973,0.0000,0.0000,32.50,0.40,0.0800,0.0000,5.2000
,61.9800,1.4960,0.0000,0.0000,32.50,0.40,0.0000,0.0000,3.2500
,62.0600,1.4943,0.0000,0.0000,33.33,0.41,0.0800,0.0000,3.3333
,62.2800,1.4895,0.0000,0.0000,33.33,0.41,0.0400,0.0000,1.3333
,63.4400,1.4651,0.0000,0.0000,33.33,0.41,0.1600,0.0000,1.3333
,63.7000,1.4597,0.0000,0.0000,34.17,0.42,0.1400,0.0000,2.0500
,64.0000,1.4536,0.0000,0.0000,151.67,1.87,0.0400,0.0000,6.0667
,64.1600,1.4503,0.0000,0.0000,77.50,0.96,0.1000,0.0000,4.6500
